,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
79,141,"[[[-9.16399036440473, 38.7351809455556], [-9.16392111777104, 38.7351837316482], [-9.16383261620187, 38.7351862054715], [-9.16374407465102, 38.7351848590897], [-9.16365576391898, 38.7351796966205], [-9.16356795410025, 38.7351707338522], [-9.16351803142271, 38.7351625130275], [-9.16346947090173, 38.7351502979422], [-9.1634227962318, 38.7351342203261], [-9.16334298181712, 38.7350936944107], [-9.1631924520233, 38.7350217484863], [-9.1629522362281, 38.7349066052856], [-9.16274359172358, 38.7348061380158], [-9.16271017529332, 38.7347900478234], [-9.16260034996164, 38.7347375328915], [-9.16251916561616, 38.7347012924296], [-9.16249479262627, 38.7346915878944], [-9.16246877833169, 38.7346849654982], [-9.16244175868643, 38.734681587135], [-9.16239185547578, 38.7347027618652], [-9.16230537315994, 38.7347439699361], [-9.16222053686962, 38.7347872098612], [-9.16206787717025, 38.7348656132551], [-9.1619706100691, 38.7349138764], [-9.16187218098223, 38.7349606841219], [-9.16176292085119, 38.7350101832717], [-9.16165173710644, 38.7350570035609], [-9.16159995691054, 38.7350763357105], [-9.16154728909006, 38.7350941491834], [-9.16141976784559, 38.7351348348646], [-9.1613544933989, 38.7351522834186], [-9.16128771866502, 38.7351658446263], [-9.1612198235246, 38.7351754413404], [-9.16115173661593, 38.7351805685641], [-9.16111700406851, 38.7351805141652], [-9.16108239296421, 38.7351782498566], [-9.16103335583976, 38.7351701116685], [-9.16098559646193, 38.7351582168432], [-9.16093958654913, 38.735142682864], [-9.16089578054035, 38.7351236631571], [-9.16085467892889, 38.7351013940563], [-9.16081659465394, 38.735076070231], [-9.16078189937848, 38.7350479388124], [-9.16075093169237, 38.7350172743307], [-9.16072275603347, 38.7349827024477], [-9.16071651992879, 38.7349728803216], [-9.16051923102775, 38.7346139608153], [-9.16051847755459, 38.7346128368771], [-9.16051750741847, 38.7346118190342], [-9.16051634463336, 38.7346109324815], [-9.16051501798188, 38.7346101991638], [-9.16051356030288, 38.7346096372333], [-9.16051200767853, 38.7346092605994], [-9.16051039854122, 38.734609078585], [-9.16050877272222, 38.7346090956956], [-9.16050717046572, 38.7346093115076], [-9.16050563143266, 38.7346097206791], [-9.16049876560894, 38.7346120366021], [-9.16043506427553, 38.7346332604042], [-9.1603782817664, 38.7346524086297], [-9.16036108980852, 38.7346582057914], [-9.16033741740414, 38.7346661885377], [-9.16029266782826, 38.7346812788127], [-9.16023044602011, 38.734702492784], [-9.1602004643645, 38.7347090862035], [-9.16016975418712, 38.7347131567098], [-9.1601386633509, 38.7347146581956], [-9.16010070409112, 38.7347129851598], [-9.1600633432076, 38.7347074876033], [-9.16004832247773, 38.7347034822179], [-9.16003384522861, 38.7346988482755], [-9.16001712308958, 38.7346925248671], [-9.16000308601496, 38.7346863822471], [-9.15999190827788, 38.7346809221399], [-9.15998166568701, 38.7346754557258], [-9.15996910005281, 38.7346680966325], [-9.15995886554678, 38.7346615293664], [-9.15994857354857, 38.734654353163], [-9.15993491017311, 38.7346438127406], [-9.15992418608523, 38.7346345875924], [-9.15991541134155, 38.7346262951186], [-9.159905369075, 38.7346157946338], [-9.15989743784936, 38.7346065316424], [-9.15988922724765, 38.7345957543651], [-9.1598790915563, 38.734580090872], [-9.15987334593173, 38.7345696170084], [-9.1598685597079, 38.7345597142411], [-9.1598612249636, 38.7345416325077], [-9.15985618451655, 38.7345262492964], [-9.15985226337032, 38.7345117973573], [-9.15984742594252, 38.7344895581551], [-9.15983340683422, 38.7344264170582], [-9.15980336447615, 38.7342875655906], [-9.15979220380708, 38.734238613536], [-9.15978547362896, 38.7342063775337], [-9.15977905426793, 38.7341743110953], [-9.15977875512897, 38.7341731394623], [-9.15977856558441, 38.7341723945784], [-9.15977842993882, 38.7341718627187], [-9.15977832393763, 38.7341714471814], [-9.15977817571561, 38.7341708641678], [-9.15977797179803, 38.7341700702323], [-9.15977780291474, 38.7341694024295], [-9.15977758552245, 38.7341685552378], [-9.15977736992678, 38.734167708747], [-9.15977719116205, 38.734167006608], [-9.15977684261571, 38.7341656422721], [-9.15977662073183, 38.7341647740582], [-9.15977641861088, 38.7341639822249], [-9.15977619223545, 38.7341630929889], [-9.15977602874208, 38.7341624532155], [-9.15977585446891, 38.7341617699964], [-9.15977563258502, 38.7341609017826], [-9.15977544753209, 38.7341601807237], [-9.1597752382246, 38.73415936016], [-9.15977501634075, 38.7341584898439], [-9.15977482140631, 38.7341577309451], [-9.15977465162473, 38.7341570673466], [-9.15977449801282, 38.7341564640115], [-9.15977430307842, 38.7341557037112], [-9.15977402190573, 38.7341546063561], [-9.1597738036151, 38.7341537549598], [-9.15977359071439, 38.734152921082], [-9.15977337601701, 38.7341520837006], [-9.1597724516506, 38.7341484784053], [-9.15977151560609, 38.7341448331677], [-9.15977058495143, 38.7341412222662], [-9.15976956177034, 38.7341372567911], [-9.15976873891353, 38.7341340754415], [-9.15976768878296, 38.7341300251767], [-9.15976659732988, 38.7341258312605], [-9.15976544748633, 38.7341214348307], [-9.15976445394964, 38.7341176466412], [-9.15976345232808, 38.7341138451376], [-9.15976238512953, 38.7341098095871], [-9.15976131343939, 38.7341057782409], [-9.15975900387079, 38.7340971591618], [-9.15975539982986, 38.7340839229169], [-9.1597521506235, 38.7340722240898], [-9.15974942333831, 38.7340625910379], [-9.15974656040749, 38.7340526671782], [-9.15974388702119, 38.7340435877072], [-9.15974035304888, 38.7340318545373], [-9.15973696640026, 38.7340209117989], [-9.15972858601697, 38.7339950846593], [-9.15971642642129, 38.7339606839627], [-9.15970617664387, 38.733934308122], [-9.15969099511559, 38.733899120465], [-9.15967914903194, 38.7338744642185], [-9.15967845822747, 38.7338730935704], [-9.15967780694891, 38.733871807011], [-9.15967715028043, 38.7338705183494], [-9.1596764792389, 38.7338692058626], [-9.15967580190918, 38.7338678905728], [-9.15967521890257, 38.7338667623807], [-9.15967404031291, 38.7338644940838], [-9.15967349593384, 38.7338634548857], [-9.15967223110592, 38.7338610541488], [-9.15967078751325, 38.73385833948], [-9.15966932325935, 38.7338556178038], [-9.15966802609208, 38.7338532282784], [-9.15966644954877, 38.7338503573442], [-9.15966562220038, 38.7338488605623], [-9.15966511734721, 38.7338479510009], [-9.15966410404755, 38.7338461395863], [-9.15966335664923, 38.7338448102813], [-9.15966281586345, 38.7338438530695], [-9.15966228495909, 38.7338429182815], [-9.1596613336432, 38.7338412498179], [-9.15966056468532, 38.7338399093009], [-9.15965936543443, 38.7338378337069], [-9.15965790387545, 38.7338353250551], [-9.15965583864862, 38.7338318220519], [-9.15965308531229, 38.7338272293966], [-9.15964993851385, 38.733822085258], [-9.15964674769796, 38.733816976156], [-9.15963861345305, 38.7338044181766], [-9.15963021330682, 38.7337921096588], [-9.15961998868226, 38.7337779525833], [-9.15960920889886, 38.7337639167333], [-9.1595978155661, 38.7337499761814], [-9.15958874797163, 38.7337394804731], [-9.15957742380915, 38.7337270493143], [-9.1595548985534, 38.7337043123409], [-9.15952137163037, 38.7336746401137], [-9.15948963145645, 38.7336504448783], [-9.15945479389142, 38.7336277204939], [-9.15941066235644, 38.7336041748314], [-9.15936266357417, 38.733584941535], [-9.15933147047426, 38.7335792157621], [-9.15928600853435, 38.733572609855], [-9.15923575048917, 38.7335698293053], [-9.15918245793493, 38.7335740120423], [-9.15915414034223, 38.7335790153495], [-9.15911774509849, 38.7335879547308], [-9.15908664991493, 38.733597657921], [-9.15905871051297, 38.7336078964776], [-9.15902484312843, 38.7336219849139], [-9.15898659825354, 38.7336393065743], [-9.15894858783892, 38.7336568237376], [-9.15890230663546, 38.7336773204531], [-9.15885883805718, 38.7336954963047], [-9.15882648613054, 38.733708272234], [-9.15880435703185, 38.7337166103627], [-9.1587806325252, 38.7337251552091], [-9.15875631333381, 38.7337333903267], [-9.15873443486507, 38.7337402351719], [-9.15870610200102, 38.7337481696696], [-9.15868089796909, 38.7337542205732], [-9.158656331741, 38.7337591054423], [-9.15862937329933, 38.7337632229993], [-9.1586121966128, 38.733765131819], [-9.15858099722464, 38.7337671233262], [-9.15855147588946, 38.7337672011085], [-9.15851042108435, 38.7337641563869], [-9.15847582606446, 38.7337583262177], [-9.15845581788811, 38.7337538533846], [-9.15844076661554, 38.7337504519849], [-9.15842304375331, 38.7337453218556], [-9.15840867879359, 38.7337401265569], [-9.1583897647653, 38.7337317351747], [-9.15837546807753, 38.7337242820848], [-9.15835805962564, 38.7337140631657], [-9.15834392283802, 38.7337050025718], [-9.15832752229588, 38.7336938796926], [-9.15829686099862, 38.7336687006214], [-9.15829000236141, 38.7336617765855], [-9.15828269456656, 38.7336535428612], [-9.15827729209845, 38.7336474562112], [-9.15827211331085, 38.7336416211273], [-9.15826579366283, 38.7336345036838], [-9.15826065709603, 38.7336287176509], [-9.15825463029877, 38.7336219316574], [-9.15824736382645, 38.7336137497835], [-9.15823906968141, 38.7336044137848], [-9.15823289825542, 38.7335974708226], [-9.15822696757792, 38.7335907990473], [-9.15822115817299, 38.7335842674201], [-9.15821472623553, 38.7335770371512], [-9.15820835807848, 38.7335698832626], [-9.15820023281677, 38.7335607574812], [-9.15819246238954, 38.733552035327], [-9.15818545373368, 38.7335441743855], [-9.15817818726136, 38.7335360275399], [-9.15816897863138, 38.7335257125919], [-9.15816392291295, 38.7335200540856], [-9.15815669686483, 38.7335119689026], [-9.15814782959465, 38.7335020575798], [-9.15814011576131, 38.7334934454352], [-9.15812410239305, 38.7334755890715], [-9.15810137681298, 38.7334503160237], [-9.15808116382079, 38.73342790621], [-9.15806038399163, 38.7334049470052], [-9.15802863483455, 38.7333700344803], [-9.15799259083208, 38.7333306694003], [-9.15797224399089, 38.7333085853959], [-9.15793067175618, 38.7332638042137], [-9.15790022695288, 38.7332313218094], [-9.15786032827953, 38.7331892146296], [-9.15780665304299, 38.733133749074], [-9.15776484724631, 38.7330917819864], [-9.15772829210245, 38.7330561412308], [-9.15769184834971, 38.7330217057454], [-9.15764823334603, 38.7329820489618], [-9.15761851258483, 38.7329560497629], [-9.15759196377494, 38.7329335493975], [-9.15756382225204, 38.7329104596944], [-9.15752072916954, 38.7328765300803], [-9.15748101195587, 38.7328466101444], [-9.15743349197565, 38.7328122775683], [-9.1573975539744, 38.7327872369351], [-9.15733849872762, 38.7327475604003], [-9.1573014566969, 38.7327234804749], [-9.15725029494651, 38.7326910763092], [-9.15720842447113, 38.7326651870225], [-9.15714469349328, 38.7326266582527], [-9.15708610537046, 38.7325919632816], [-9.15703496158637, 38.7325620761619], [-9.15698036916993, 38.7325304378466], [-9.15690981997912, 38.7324897093374], [-9.15683821526781, 38.7324482485168], [-9.15678279999457, 38.7324158652488], [-9.15673258686511, 38.7323861476381], [-9.15666864029163, 38.732347580877], [-9.15661890057434, 38.7323168576535], [-9.15656341253756, 38.7322815395599], [-9.15654908530709, 38.7322724388412], [-9.15653240359226, 38.7322618104728], [-9.15651285715001, 38.732249255023], [-9.15649351282868, 38.7322366596278], [-9.15646880197182, 38.7322202030618], [-9.15644557603017, 38.7322042159989], [-9.15642438387428, 38.7321890404089], [-9.15640609866669, 38.7321753693411], [-9.1563880434278, 38.7321611727028], [-9.15636798943739, 38.7321432837713], [-9.15635439702881, 38.7321305299863], [-9.15634425325262, 38.7321206528089], [-9.15633344292652, 38.7321097672399], [-9.15632228854562, 38.7320981178432], [-9.15631041820745, 38.7320852189932], [-9.15629667218699, 38.7320695808776], [-9.15628316152512, 38.7320534010726], [-9.1562717762772, 38.7320390747697], [-9.15625726579042, 38.732019782889], [-9.15624437047452, 38.7320015386374], [-9.15622973422358, 38.7319793666272], [-9.15621559833429, 38.7319561981306], [-9.15620306054786, 38.7319338943636], [-9.15619334706468, 38.7319152345397], [-9.15618002864228, 38.7318871929383], [-9.1561703663631, 38.7318645660993], [-9.15616178206224, 38.7318423218683], [-9.15615531149724, 38.7318195583669], [-9.15614248624992, 38.7317636614805], [-9.15614041606056, 38.7317189626701], [-9.1561430378155, 38.7316742814512], [-9.15615545971927, 38.7315852748167], [-9.15615830300524, 38.7315489417068], [-9.15615624844008, 38.7315125762423], [-9.15615228637754, 38.7314860118875], [-9.15614575881251, 38.7314597575723], [-9.1561349937335, 38.7314241470718], [-9.1561222310369, 38.7313889404235], [-9.15610044778958, 38.731333598907], [-9.15609644579498, 38.7313230621993]]]",[-9.159217   38.73378223],Pista Ciclável Bidirecional,Avenida Calouste Gulbenkian - Jardim Amália Rodrigues,"(38.7337822278965, -9.159216998493475)",Campolide,Lisboa,Lisboa
80,143,"[[[-9.09506269194305, 38.7751947520328], [-9.09523465733621, 38.7752029837679], [-9.0952501732621, 38.7752027589768], [-9.09526544717397, 38.7752006189944], [-9.09528009260688, 38.775196617967], [-9.09529373899785, 38.7751908571295], [-9.09530604106193, 38.7751834822438], [-9.09544710171438, 38.7750841389625], [-9.09545715039034, 38.7750759219688], [-9.09546553250363, 38.7750666382197], [-9.09547206426841, 38.7750564912699], [-9.0954766024695, 38.7750457036005], [-9.0954790476025, 38.7750345117414], [-9.09549591347197, 38.7748964718005], [-9.09549614810834, 38.7748841593357], [-9.09549385613609, 38.7748719758441], [-9.09548909645519, 38.7748602344217], [-9.09548199138169, 38.7748492368042], [-9.09538989609875, 38.7747313564771], [-9.09538146274227, 38.7747221598869], [-9.09537137890949, 38.7747140357475], [-9.09535986598189, 38.7747071624175], [-9.09534717671542, 38.774701690795], [-9.0953358209829, 38.7746982718076], [-9.09532400721421, 38.7746959828716], [-9.09531191963717, 38.7746948596815], [-9.0953045759097, 38.7746945382256], [-9.09506774406819, 38.7746841675939], [-9.09503961691834, 38.7746829363964], [-9.09502398623241, 38.7746832319398], [-9.09500937380427, 38.7746853168672], [-9.09499533605214, 38.7746891055443], [-9.09498219779008, 38.7746945103059], [-9.09497026301921, 38.7747014060932], [-9.09495980789355, 38.7747096333468], [-9.09485489904142, 38.7748057128713], [-9.09484570065544, 38.7748156533549], [-9.09483864989876, 38.774826608881], [-9.09483392668613, 38.7748382998962], [-9.09483165154017, 38.7748504280795], [-9.09481926916231, 38.7749976208113], [-9.09481943981015, 38.7750094313203], [-9.09482193245144, 38.7750210816162], [-9.09482668807505, 38.7750322958885], [-9.09483359409565, 38.7750428086491], [-9.09484248701912, 38.7750523710178], [-9.09496971002292, 38.775168993713], [-9.09498082308799, 38.7751776703203], [-9.09499357941201, 38.7751848427514], [-9.09500764777428, 38.7751903247729], [-9.09502266288673, 38.7751939740435], [-9.09503823487874, 38.7751956958092], [-9.09505395942016, 38.7751954453643], [-9.09505517663737, 38.7751953494184], [-9.09506269194305, 38.7751947520328]]]",[-9.09515408 38.77494504],Pista Ciclável Unidirecional,Rotunda dos Vice-reis,"(38.77494504148528, -9.095154081842779)",Parque das Nações,Lisboa,Lisboa
81,150,"[[[-9.09149415423982, 38.7745861955848], [-9.09193952188969, 38.7744844878182], [-9.09207879309809, 38.7749176149944]]]",[-9.09183749 38.77466277],Percurso Ciclopedonal,Cais das Naus,"(38.77466276613247, -9.091837489742533)",Parque das Nações,Lisboa,Lisboa
82,151,"[[[-9.09370335137365, 38.7889249596751], [-9.09367580273883, 38.7892161757598]]]",[-9.09368958 38.78907057],Percurso Ciclopedonal,Passeio do Parque,"(38.789070567717445, -9.093689577056239)",Parque das Nações,Lisboa,Lisboa
83,154,"[[[-9.15831387598841, 38.742438330238], [-9.15813040317646, 38.7425173179875]]]",[-9.15822214 38.74247782],30+Bici,Rua Cardeal Mercier,"(38.742477824112754, -9.158222139582435)",São Sebastião da Pedreira,Lisboa,Lisboa
84,157,"[[[-9.09462369694179, 38.7793168408527], [-9.0945947972408, 38.7797492881136], [-9.09459267811505, 38.7798483917004]]]",[-9.09460372 38.77963817],Percurso Ciclopedonal,Passeio dos Jacarandás,"(38.77963817355556, -9.094603724099214)",Parque das Nações,Lisboa,Lisboa
85,159,"[[[-9.19882928409761, 38.7183440578546], [-9.19871183027255, 38.7183324027089], [-9.19743532784705, 38.7184131651408], [-9.19712248775274, 38.7184470006952], [-9.19686188918376, 38.7185161085827], [-9.19666884482247, 38.718627500404], [-9.19640350584374, 38.7187872162175], [-9.1962498256582, 38.7188863315748], [-9.19601892539249, 38.7191627652298], [-9.19591695043808, 38.7193487209058], [-9.19584250705049, 38.7195240030809], [-9.19573409566704, 38.719803837735], [-9.19544143802221, 38.7203784968273], [-9.19529344596906, 38.7206563075273], [-9.19519996099238, 38.7207119741074], [-9.19487768679095, 38.7208200894507], [-9.19477615290932, 38.7208540626375], [-9.19458759383624, 38.7208581606131], [-9.19438676018312, 38.7208552197707], [-9.19420096073459, 38.7208402260984], [-9.19397487633712, 38.7207755485479], [-9.19384690503671, 38.720728617653]]]",[-9.19583551 38.71971236],Trilho,Alameda Keil do Amaral,"(38.71971235515288, -9.19583551158354)",São Francisco Xavier,Lisboa,Lisboa
86,160,"[[[-9.14083634365211, 38.7230808155149], [-9.14056017009272, 38.723221557918]]]",[-9.14069826 38.72315119],Zona de Coexistência,Travessa das Recolhidas,"(38.72315118671645, -9.140698256872415)",Arroios,Lisboa,Lisboa
87,162,"[[[-9.18264028352677, 38.7195665668784], [-9.18275488520081, 38.7196305986108], [-9.18291759435328, 38.7199525576658], [-9.18299617448275, 38.7201397742638], [-9.18299936260371, 38.7203573388776], [-9.18297684094122, 38.7205454641459], [-9.18289291403916, 38.7208557951834], [-9.18282666508358, 38.7210789302022], [-9.18264689243231, 38.7213179222646], [-9.18230289876392, 38.7215633348176], [-9.18197139616958, 38.7217987445723], [-9.18184682409418, 38.7219234966327], [-9.18179234306881, 38.7220871817372], [-9.18179419539493, 38.7222137639268], [-9.18201604693077, 38.7231217091809], [-9.18221178623792, 38.7239725225628], [-9.18218875433234, 38.7241260338442], [-9.1820896755464, 38.7242653928435], [-9.18192006912919, 38.7243361511752], [-9.18166090876299, 38.7243335356629], [-9.18131619644236, 38.7240992562974], [-9.18082209518832, 38.7235893792803], [-9.1806753805395, 38.7234967343133], [-9.18042741497837, 38.7233951086225], [-9.17998936949637, 38.723260569736], [-9.17955175879897, 38.723155697393], [-9.17908021963159, 38.7231055238451], [-9.17866940388251, 38.7231042595189], [-9.17788030577063, 38.7231657243891], [-9.17717407454877, 38.7232758958015], [-9.17695994493111, 38.7233272634677], [-9.17677952189958, 38.7234381943447]]]",[-9.18114913 38.72242501],Trilho,Estrada da Pimenteira,"(38.722425013189316, -9.181149131162584)",None,Lisboa,Lisboa
88,166,"[[[-9.11610655661854, 38.7793287066393], [-9.11601489073032, 38.7793051683454], [-9.11595744167128, 38.7794735868659], [-9.11594640407137, 38.7795059438882], [-9.11590804511045, 38.7795062674233], [-9.11594740030302, 38.779401890151], [-9.1160102742881, 38.7792351395643], [-9.11607532938264, 38.779169759278], [-9.11616300764934, 38.7790816396024], [-9.11623118798274, 38.7790131176417], [-9.11624272504596, 38.7790015228176], [-9.11610565920157, 38.7789191152673], [-9.11589088998345, 38.7787899906554], [-9.11586197770603, 38.7788131145421], [-9.11609739380264, 38.778954969829], [-9.11614750452416, 38.7789851659682]]]",[-9.11604417 38.77915532],Percurso Ciclopedonal,Ponte ciclopedonal sobre a Avenida Doutor Alfredo Bensaúde - Encarnação - Portela,"(38.77915531865494, -9.116044168004475)",Olivais,Lisboa,Lisboa
