X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.23870593247272,38.7051345053417,892,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23321881219447,38.7003180310933,655,Bom,Sem Abrigo,Não,Não,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23155490581518,38.6997804434794,654,Bom,Aberto dos Lados,Não,Não,Vimeca,"02,114",121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23645605306834,38.7014818195828,491,Bom,Fechado dos Lados,Sim,Sim,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.2369486437985,38.701729930362,490,Bom,Fechado dos Lados,Sim,Sim,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23870593247272,38.7051345053417,458,Bom,Fechado dos Lados,Sim,Não,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.23869683991594,38.705977274613,457,Bom,Fechado dos Lados,Sim,Sim,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.24101045481211,38.7081040130272,363,Bom,Fechado dos Lados,Sim,Sim,Vimeca,"02,11,13",121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.24081861453923,38.7080837615446,335,Bom,Fechado dos Lados,Sim,Não,Vimeca,"02,11",121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-9.2331926386891,38.7003913622534,56,Bom,Sem Abrigo,Não,Não,Vimeca,02,121,Rua João Chagas,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
