OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
58526,6092,Arterial,MAJOR,FISCHER HALLMAN RD,GLASGOW ST,STOKE DR,2,2,,,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 1273,2003/04/22 00:00:00+00,,,,24HR,683.2946243486
58556,20628,Arterial,MAJOR,FISCHER HALLMAN RD,STOKE DR,VICTORIA ST S,,,,,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 1321,2003/04/22 00:00:00+00,,,,24HR,629.161412502554
58558,11502,Arterial,MAJOR,OTTAWA ST N,RIVER RD E,BRECKENRIDGE DR,1020,1020,1025,1035,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1202,2003/12/18 00:00:00+00,,,,24HR,268.205214932176
58564,7036,Arterial,MAJOR,LANCASTER ST W,WELLINGTON ST N,LOUISA ST,69,93,78,98,REGIONAL RD 29,3,REG,TwoWay,REG PLAN 199,2003/04/22 00:00:00+00,,,,24HR,123.126523961844
58568,13156,Arterial,MAJOR,WEBER ST E,WILFRED AVE,EMERALD AVE,986,1006,985,1015,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 307,2003/05/30 00:00:00+00,,,,7-7 MON-FRI,91.6094467348901
58572,21651,Arterial,MAJOR,FISCHER HALLMAN RD,FORESTWALK ST,SEABROOK DR,1548,1548,1541,1541,REGIONAL RD 58,2,REG,TwoWay,58R-7094,2002/08/13 00:00:00+00,60,17145,2015,24HR,883.746438799364
58595,21855,Arterial,MAJOR,MANITOU DR,WEBSTER RD,CRESS LANE,,,31,31,REGIONAL RD 69,4,REG,TwoWay,REG PLAN 586,2002/08/13 00:00:00+00,,,,24HR,46.3282592021846
58596,6766,Arterial,MAJOR,WEBER ST W,QUEEN ST N,ONTARIO ST N,11,21,18,22,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 401,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,121.794959698654
58598,6759,Arterial,MAJOR,WEBER ST E,FREDERICK ST,SCOTT ST,40,40,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 406,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,155.075592212009
58601,103385,Arterial,MAJOR,FAIRWAY RD N,EDEN OAK TRAIL,CAMBRIDGE BOUNDARY,9999,9999,,,REGIONAL RD 53,4,REG,TwoWay,REGION OF WATERLOO,2012/10/23 00:00:00+00,,,,NO ACCESS,631.824505694749
