Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
1120306: Esposende;5183660;5609280;7919780;6435460;7055700;7380450;9095790;8603240;6896240;6409880;4913090;5952100;6764540;6736860;8551390;6873810;7016990;7142400;9927170;8605270;7596180;7516370;6879560;7157135;6299265;6344505
1120310: Terras de Bouro;847190;925680;1307110;1130520;1350680;1721380;2578520;1933020;1251530;926220;658850;834220;950190;927710;1144280;980680;1128810;1473690;2246070;1608940;1278490;1048700;1010270;913950;781900;823650
1120313: Vila Verde;6895620;7368580;10047085;8116115;8813310;8091130;9164535;9158910;7922875;7415055;5968995;7046015;8059415;8076760;9858120;8287745;8530805;8015845;9527240;9040405;8376710;8536800;8084130;8176370;7334270;7535415
1190304: Cabeceiras de Basto;2583450;2764520;3891455;3215865;3382060;3387585;3706375;3306630;2906175;2662245;2082175;2429995;2846570;2851740;3544850;2856610;2944290;2984540;3528710;3157480;2908600;2951190;2924320;2889300;2536540;2703560
1190307: Fafe;8424350;9063270;12590260;9725350;10076810;9646340;10538850;10522340;9233140;8933130;7162890;8271810;9276940;9337490;11960310;9529480;9695480;9059750;10681620;10390640;9629030;10005215;9227870;9411655;8415820;8743170
1190308: Guimarães;30318465;32337135;46981205;35440675;38375745;36414855;39669615;39864855;34474660;32033450;25734930;32002065;37843795;38075880;49217870;39176190;39653225;38210645;42280060;41816945;39557020;40502740;38723230;39627145;35474740;36098875
1191705: Mondim de Basto;874570;930370;1299890;1043700;1174570;1011700;1288110;1087000;931500;798930;627300;759480;891500;906270;1135000;891810;947290;926420;1324790;1046690;903670;904150;898630;881825;769560;833410
1190309: Póvoa de Lanhoso;3731550;4107500;5612680;4404615;4481360;4246630;5122605;4980030;4223160;4073710;3230535;3744880;4253570;4478550;5493540;4295055;4474930;4163035;5402355;4872575;4243050;4445090;4272595;4353890;3797305;4211690
1190311: Vieira do Minho;2068375;2204920;2818235;2243325;2377650;2399180;2891735;2612585;2208170;2064980;1619075;1844855;2065940;2150655;2536745;2097970;2316065;2136460;2811775;2589050;2160345;2223130;2108200;2122440;1925455;2002470
1190312: Vila Nova de Famalicão;22907555;24141020;34185940;26696295;29220805;28191960;29753645;31695755;27401855;26169515;20996985;25272120;28714775;28645810;36850180;29772040;30712585;28729310;31519405;32445740;30228645;31809325;30025400;30218645;27139620;27832995
1190314: Vizela;4665980;4732930;6744960;4928910;5447880;5374480;5837470;5762630;5223900;4945350;3980920;4717510;5628660;5665400;7101650;5865010;5800250;5563780;6501710;6158470;5925540;6033120;5690050;5836940;5197210;5272660
